locality           , business_name                                              , rating, reviews, phone     , whatsapp_link             , website, has_own_site, prospect_tier, gmaps_url
Raj Nagar Extension, Bagdi Dental Clinic                                        ,    5.0,      28, 9560832124, https://wa.me/919560832124,        , FALSE       , PRIME        , https://maps.google.com/?q=Bagdi+Dental+Clinic+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Dr. Kumar's Dental Clinic And Implant Centre               ,    5.0,      37, 9810741740, https://wa.me/919810741740,        , FALSE       , PRIME        , https://maps.google.com/?q=Dr+Kumar+Dental+KW+Srishti+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Golden Tooth                                               ,    4.9,      17, 8826668501, https://wa.me/918826668501,        , FALSE       , PRIME        , https://maps.google.com/?q=Golden+Tooth+AVS+City+Square+Raj+Nagar+Extension+Ghaziabad
Raj Nagar          , Eco Dental Pvt Ltd                                         ,    4.7,      14, 9891938045, https://wa.me/919891938045,        , FALSE       , PRIME        , https://maps.google.com/?q=Eco+Dental+Raj+Nagar+Ghaziabad
Raj Nagar          , Vinayak Dental Clinic & Implant Centre                     ,    5.0,      10, 9953112008, https://wa.me/919953112008,        , FALSE       , PRIME        , https://maps.google.com/?q=Vinayak+Dental+Clinic+Raj+Nagar+Ghaziabad
Raj Nagar          , Dadu Dental Care                                           ,    5.0,       9, 9868824710, https://wa.me/919868824710,        , FALSE       , PRIME        , https://maps.google.com/?q=Dadu+Dental+Care+Raj+Nagar+Ghaziabad
Raj Nagar          , Nitish Dental                                              ,    5.0,      17, 8368404301, https://wa.me/918368404301,        , FALSE       , PRIME        , https://maps.google.com/?q=Nitish+Dental+Clinic+Raj+Nagar+Ghaziabad
Raj Nagar          , Abode Of Tooth Dental Clinics                              ,       ,        , 8377076979, https://wa.me/918377076979,        , FALSE       , PRIME        , https://maps.google.com/?q=Abode+Of+Tooth+Dental+Clinic+RDC+Raj+Nagar+Ghaziabad
Raj Nagar          , Dental & Aesthetic Clinic                                  ,       ,        , 9811873557, https://wa.me/919811873557,        , FALSE       , PRIME        , https://maps.google.com/?q=Dental+Aesthetic+Clinic+RDC+Raj+Nagar+Ghaziabad
Raj Nagar          , Diva Raghav Dental Clinic                                  ,       ,        , 8920774090, https://wa.me/918920774090,        , FALSE       , PRIME        , https://maps.google.com/?q=Diva+Raghav+Dental+Clinic+Raj+Nagar+Ghaziabad
Raj Nagar          , Sparkee Dental Clinic                                      ,       ,        , 9818579579, https://wa.me/919818579579,        , FALSE       , PRIME        , https://maps.google.com/?q=Sparkee+Dental+Clinic+Raj+Nagar+Ghaziabad
Raj Nagar Extension, SS Dental Care                                             ,    5.0,      21, 8076070298, https://wa.me/918076070298,        , FALSE       , PRIME        , https://maps.google.com/?q=SS+Dental+Care+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, The Tooth Booth Dental and Orthodontic Centre              ,    5.0,       9, 9013970943, https://wa.me/919013970943,        , FALSE       , PRIME        , https://maps.google.com/?q=Tooth+Booth+Dental+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, BANSAL DENTAL SOLUTIONS                                    ,    5.0,      10, 7017910168, https://wa.me/917017910168,        , FALSE       , PRIME        , https://maps.google.com/?q=Bansal+Dental+Solutions+KDP+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Sardana's Dental Care                                      ,    4.6,      11, 7531899676, https://wa.me/917531899676,        , FALSE       , PRIME        , https://maps.google.com/?q=Sardana+Dental+Care+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Happy Smile Dental Home                                    ,    5.0,       3, 9411456043, https://wa.me/919411456043,        , FALSE       , PRIME        , https://maps.google.com/?q=Happy+Smile+Dental+Home+MCC+Signature+Heights+Ghaziabad
Raj Nagar Extension, Roots & Ridges Dental Clinic                               ,    4.1,      12, 9013396829, https://wa.me/919013396829,        , FALSE       , PRIME        , https://maps.google.com/?q=Roots+Ridges+Dental+Clinic+Raj+Nagar+Extension+Ghaziabad
Raj Nagar          , Raj Dental Clinic                                          ,    3.7,      15, 9268587584, https://wa.me/919268587584,        , FALSE       , PRIME        , https://maps.google.com/?q=Raj+Dental+Clinic+Kavi+Nagar+Ghaziabad
Raj Nagar          , Shri Balaji Dental Care                                    ,       ,        , 9350387987, https://wa.me/919350387987,        , FALSE       , PRIME        , https://maps.google.com/?q=Shri+Balaji+Dental+Care+Noornagar+Ghaziabad
